"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",4,767304102,191826025,99.48028783158594
"hipFree",4,2580985,645246,0.3346223876814435
"hipMalloc",4,1186545,296636,0.153834493804295
"hipLaunchKernel",1,240475,240475,0.03117736781798233
"__hipPushCallConfiguration",1,421,421,5.458227196744177e-05
"__hipPopCallConfiguration",1,180,180,2.3336838370877717e-05
