"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",3,954904393,318301464,98.76869648871183
"hipMalloc",3,9563372,3187790,0.9891689612078736
"hipFree",3,2023561,674520,0.2093031341153273
"hipLaunchKernel",1,316616,316616,0.03274856607290735
"__hipPushCallConfiguration",1,551,551,5.699162362663905e-05
"__hipPopCallConfiguration",1,250,250,2.5858268433139315e-05
